ligand_id,iupac,glycoct,glytoucan_id
63,Gal(a1-2)[Abe(a1-3)]Man(a1-4)Rha(a1-3)Gal(a1-2)[Abe(a1-3)]Man(a1-4)Rha,"RES
1b:x-lman-HEX-1:5|6:d
2b:a-dman-HEX-1:5
3b:a-dgal-HEX-1:5
4b:a-lman-HEX-1:5|6:d
5b:a-dman-HEX-1:5
6b:a-dgal-HEX-1:5
7b:a-dxyl-PEN-1:5|3:d|6:d
8b:a-dxyl-PEN-1:5|3:d|6:d
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:3o(3+1)4d
4:4o(4+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:2o(3+1)8d",
64,Gal(a1-6)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(6+1)2d",G09165XB
65,GalNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G87315SO
66,Fuc(a1-2)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(2+1)4d",G39064VB
67,Gal(a1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d",G27798EJ
68,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(2+1)3d
3:2o(3+1)4d
4:4d(2+1)5n",G90377OF
69,Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d",G04616ST
70,NeuAc(a2-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
3s:n-acetyl
LIN
1:1o(3+2)2d
2:2d(5+1)3n",G77824XV
71,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d",G12045LV
72,Gal(b1-3)[Fuc(a1-4)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d",G00047MO
73,NeuAc(a2-8)NeuAc(a2-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n",G81928IQ
74,Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:5o(6+1)7d",G20624LQ
75,GlcNAc(b1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(2+1)2d
2:2d(2+1)3n",G65609XC
76,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:a-dman-HEX-1:5
8b:b-dglc-HEX-1:5
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4o(2+1)5d
5:5d(2+1)6n
6:3o(6+1)7d
7:7o(2+1)8d
8:8d(2+1)9n",G18980FQ
77,GlcNAc(b1-2)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3d(2+1)4n",G82739ZR
78,Xyl(b1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:b-dxyl-PEN-1:5
LIN
1:1o(3+1)2d",
79,Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d",G52148JS
80,Ara,"RES
1b:x-dara-PEN-1:5",G91625IP
81,Gal(a1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d",G48740SL
82,LGal,"RES
1b:x-lgal-HEX-1:5",G75623HL
83,Fuc(a1-2)Gal(b1-2)Xyl,"RES
1b:x-dxyl-PEN-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
LIN
1:1o(2+1)2d
2:2o(2+1)3d",G05049AS
84,Glc(b1-3)Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d",G44414OJ
85,NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
6b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
7s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+2)6d
6:6d(5+1)7n",G65191ST
86,Glc(a1-1)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(1+1)2d",G10543DQ
87,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d",G45207BM
88,NeuAc(a2-6)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(6+2)3d
3:3d(5+1)4n",G69893KP
89,Gal(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(3+1)2d",G02753DE
90,Gal(b1-6)GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(6+1)3d",G27589TC
91,Gal(b1-6)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(6+1)2d",G44856HU
92,GalNAc(a1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G33395TI
93,Man(a1-2)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d",G47764XB
94,GalNAc(a1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n",G95341UA
95,GalNAc(a1-3)GalNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dgal-HEX-1:5
3s:n-acetyl
4b:a-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(3+1)4d
4:4d(2+1)5n",G68607SL
96,Glc(a1-4)Glc(a1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
3b:a-dglc-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(4+1)3d",G33575EC
97,GalNAc(b1-4)[NeuAc(a2-8)NeuAc(a2-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
7b:b-dgal-HEX-1:5
8s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n
6:2o(4+1)7d
7:7d(2+1)8n",G41759HA
98,ManNAc,"RES
1b:x-dman-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G29494LA
99,Glc(b1-3)Glc(b1-3)Glc(b1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dglc-HEX-1:5
3b:b-dglc-HEX-1:5
4b:b-dglc-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d
3:3o(3+1)4d",G45140IE
100,Dfuc,"RES
1b:x-dgal-HEX-1:5|6:d",G25787TL
101,Fuc(a1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G47366RU
102,Glc(a1-3)Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-dglc-HEX-1:5
LIN
1:1o(3+1)2d",G56660NC
103,GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dglc-HEX-1:5
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d
4:4d(2+1)5n",G62300KZ
104,Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:1o(6+1)4d
4:4o(3+1)5d",G30704AF
105,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]Glc,"RES
1b:x-dglc-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
5b:a-dgal-HEX-1:5
6s:n-acetyl
LIN
1:1o(3+1)2d
2:1o(4+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n",G13910LY
106,Gal(a1-3)[Fuc(a1-2)]Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-lgal-HEX-1:5|6:d
3b:a-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:1o(3+1)3d",G58612ZQ
107,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(3+1)3d
3:2o(6+1)4d
4:4o(2+1)5d",G28528AG
108,DDmanHep,"RES
1b:x-dgro-dman-HEP-1:5",G99199AD
109,LDmanHep,"RES
1b:x-lgro-dman-HEP-1:5",G79085KK
110,LDmanHep(a1-3)LDmanHep,"RES
1b:x-lgro-dman-HEP-1:5
2b:a-lgro-dman-HEP-1:5
LIN
1:1o(3+1)2d",G64541AU
111,Man(a1-2)Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(2+1)3d",G09342SH
112,Rha(a1-6)Glc(a1-4)[GlcNAc(b1-3)]Gal(a1-3)[Glc(a1-6)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:a-dglc-HEX-1:5
7b:a-lman-HEX-1:5|6:d
8b:a-dglc-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(4+1)6d
6:6o(6+1)7d
7:1o(6+1)8d",G35587SF
113,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:a-dman-HEX-1:5
10b:b-dglc-HEX-1:5
11s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:7d(2+1)8n
8:5o(6+1)9d
9:9o(2+1)10d
10:10d(2+1)11n",G88876JQ
114,Gal(b1-4)Fuc(a1-6)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(6+1)3d
3:3o(4+1)4d",G60087WL
115,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:b-dgal-HEX-1:5
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d",G26929DQ
116,Gal(a1-2)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(2+1)2d",G35178XK
117,Man(a1-2)Man(a1-3)[Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:1o(6+1)4d",G84430BE
118,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(4+1)5d",G48059CD
119,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dgal-HEX-1:5
6b:a-lgal-HEX-1:5|6:d
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(2+1)4n
4:3o(3+1)5d
5:5o(2+1)6d",G01650PH
120,Gal(a1-4)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G62763GO
121,Rha,"RES
1b:x-lman-HEX-1:5|6:d",G07006BT
122,Man(a1-6)Man(a1-6)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(6+1)2d
2:2o(6+1)3d",G97536OM
123,Gal(a1-4)Glc(a1-2)Fruf,"RES
1b:x-dara-HEX-2:5|2:keto
2b:a-dglc-HEX-1:5
3b:a-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:2o(4+1)3d",
124,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
5b:a-dgal-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n",G58507AZ
125,Fuc(a1-2)Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d",G88393MK
126,NeuGc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-glycolyl
LIN
1:1d(5+1)2n",G43724HA
127,NeuGc(a2-3)Gal(b1-3)GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-glycolyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n",G91484JV
128,NeuAc(a2-3)Gal(b1-3)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
5s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n",G59168YE
129,GlcNAc(b1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(3+1)2d
2:2d(2+1)3n",G02880JU
130,GalN,"RES
1b:x-dgal-HEX-1:5
2s:amino
LIN
1:1d(2+1)2n",G16633GB
131,NeuAc(a2-8)NeuAc(a2-8)NeuAc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1d(5+1)2n
2:1o(8+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n",G25213CC
132,Neu5Ac(a2-8)Neu5Ac,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1d(5+1)2n
2:1o(8+2)3d
3:3d(5+1)4n",G97569KL
133,Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
6b:a-dman-HEX-1:5
7b:a-dman-HEX-1:5
8b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(2+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(3+1)6d
6:6o(2+1)7d
7:5o(6+1)8d",G04869AE
134,Gal(b1-3)GalNAc(b1-4)[NeuAc(a1-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:b-dgal-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+1)3d
3:3d(5+1)4n
4:2o(4+1)5d
5:5d(2+1)6n
6:5o(3+1)7d",
